59.166.0.9;7045;149.171.126.7;25;tcp;FIN;0.201886;37552;3380;31;29;18;8;smtp;1459437.5;1.307.668.672;52;42;255;255;1422136554;3572668484;722;80;0;0;456.043.567;15.530.109;1424250009;1424250009;3.943.843;4.912.488;0.00059;0.000473;0.000117;0;0;;; ;2;2;7;4;1;1;3;;0
59.166.0.9;9685;149.171.126.2;80;tcp;FIN;5.864.748;19410;1087890;31;29;2;370;http;2.640.454.492;1.481.982.875;364;746;255;255;389619597;394688654;53;1458;1;0;1.031.366.423;690.219.581;1424250003;1424250009;16.155.447;7.871.279;0.000771;0.000638;0.000133;0;0;1;; ;3;1;4;4;1;1;1;;0
59.166.0.2;1421;149.171.126.4;53;udp;CON;0.001391;146;178;31;29;0;0;dns;4.198.418.438;5.118.619.688;2;2;0;0;0;0;73;89;0;0;0;0;1424250009;1424250009;0.009;0.002;0;0;0;0;0;;; ;3;5;2;7;1;1;4;;0
59.166.0.2;21553;149.171.126.2;25;tcp;FIN;0.053948;37812;3380;31;29;19;8;smtp;5503373.5;489.360.125;54;42;255;255;4047523379;1903327524;700;80;0;0;65.909.688;3.155.258;1424250009;1424250009;1.011.547;1.302.561;0.000674;0.00054;0.000134;0;0;;; ;1;1;4;7;1;1;3;;0
59.166.0.8;45212;149.171.126.4;53;udp;CON;0.000953;146;178;31;29;0;0;dns;6.128.016.875;747.114.375;2;2;0;0;0;0;73;89;0;0;0;0;1424250009;1424250009;0.009;0.004;0;0;0;0;0;;; ;2;5;2;1;1;1;2;;0
59.166.0.0;59922;149.171.126.8;6881;tcp;FIN;8.633.186;25056;1094788;31;29;38;390;-;2.316.641.797;1.013.311.125;446;858;255;255;497111133;526810925;56;1276;0;0;775.170.264;5.572.343.447;1424250000;1424250009;19.443.407;10.084.887;0.000654;0.000516;0.000138;0;0;;; ;9;7;2;3;2;1;6;;0
175.45.176.0;49582;149.171.126.12;80;tcp;FIN;0.189983;13304;268;254;252;6;1;http;529100;9.432.422.852;18;6;255;255;157871242;468891365;739;45;1;0;842.127.346;66.237.773;1424250009;1424250009;11.175.471;35.431.199;0.062013;0.007572;0.054441;0;1;1;; ;1;1;1;1;1;1;1;Exploits;1
175.45.176.1;0;149.171.126.11;0;sctp;INT;0.000009;440;0;254;0;0;0;-;195555552;0;2;0;0;0;0;0;220;0;0;0;0;0;1424250010;1424250010;0.009;0;0;0;0;0;2;;; ;1;1;1;1;1;1;2; Fuzzers ;1
175.45.176.1;0;149.171.126.11;0;sctp;INT;0.000009;440;0;254;0;0;0;-;195555552;0;2;0;0;0;0;0;220;0;0;0;0;0;1424250010;1424250010;0.009;0;0;0;0;0;2;;; ;1;1;1;1;1;1;2;Exploits;1
175.45.176.1;0;149.171.126.11;0;sctp;INT;0.000009;440;0;254;0;0;0;-;195555552;0;2;0;0;0;0;0;220;0;0;0;0;0;1424250010;1424250010;0.009;0;0;0;0;0;2;;; ;1;1;1;1;1;1;2;Exploits;1
175.45.176.1;0;149.171.126.11;0;sctp;INT;0.000009;440;0;254;0;0;0;-;195555552;0;2;0;0;0;0;0;220;0;0;0;0;0;1424250010;1424250010;0.009;0;0;0;0;0;2;;; ;1;1;1;1;1;1;2;Exploits;1
175.45.176.1;0;149.171.126.11;0;sctp;INT;0.000009;440;0;254;0;0;0;-;195555552;0;2;0;0;0;0;0;220;0;0;0;0;0;1424250010;1424250010;0.009;0;0;0;0;0;2;;; ;1;1;1;1;1;1;2;Backdoor;1
175.45.176.1;0;149.171.126.11;0;sctp;INT;0.000009;440;0;254;0;0;0;-;195555552;0;2;0;0;0;0;0;220;0;0;0;0;0;1424250010;1424250010;0.009;0;0;0;0;0;2;;; ;1;1;1;1;1;1;2;Exploits;1
175.45.176.1;0;149.171.126.11;0;sctp;INT;0.000009;440;0;254;0;0;0;-;195555552;0;2;0;0;0;0;0;220;0;0;0;0;0;1424250010;1424250010;0.009;0;0;0;0;0;2;;; ;1;1;1;1;1;1;2;Exploits;1
59.166.0.6;49434;149.171.126.6;80;tcp;FIN;1.366.053;1684;10168;31;29;3;5;http;9.159.234.375;5.624.379.297;14;18;255;255;1302136523;3540341804;120;565;1;3924;9.040.628.898;7.917.853.132;1424250009;1424250010;105.054.849;80.324;0.000705;0.000541;0.000164;0;0;1;; ;2;2;1;3;1;1;2;;0
59.166.0.1;32219;149.171.126.0;53;udp;CON;0.001028;146;178;31;29;0;0;dns;568.093.375;692607;2;2;0;0;0;0;73;89;0;0;0;0;1424250010;1424250010;0.001;0.004;0;0;0;0;0;;; ;2;4;1;5;2;1;1;;0
59.166.0.1;53228;149.171.126.4;53;udp;CON;0.001016;130;162;31;29;0;0;dns;511811;637795.25;2;2;0;0;0;0;65;81;0;0;0;0;1424250010;1424250010;0.009;0.009;0;0;0;0;0;;; ;2;5;1;5;2;1;2;;0
59.166.0.3;2803;149.171.126.1;33687;tcp;FIN;0.040832;2750;25564;31;29;7;15;-;526645.75;4894788;44;44;255;255;2380039384;2398297455;63;581;0;0;66.321.088;1.908.224;1424250010;1424250010;0.942163;0.938209;0.000907;0.000486;0.000421;0;0;;; ;4;4;2;2;1;1;1;;0
59.166.0.6;50368;149.171.126.5;27436;tcp;FIN;0.021008;2542;22128;31;29;7;14;-;9.440.213.125;8226199.5;40;42;255;255;114650090;2264499374;64;527;0;0;33.934.681;31.602.724;1424250010;1424250010;0.530795;0.49778;0.000746;0.000594;0.000152;0;0;;; ;7;8;7;3;1;1;4;;0
